datetime,symbol,current_price,obi,cvd,micro_price,threshold,signal_type
2026-02-20T10:19:46.407109+09:00,5016,3385.0,0.7895,124700,3384.9,0.6898,ENTRY
2026-02-20T10:19:47.309739+09:00,5016,3385.0,0.7778,130100,3384.9,0.7497,ENTRY
2026-02-20T10:19:54.015754+09:00,7013,4353.0,0.9444,215300,4353.0,0.8768,ENTRY
2026-02-20T10:19:54.076784+09:00,7013,4353.0,0.9444,218700,4353.0,0.9272,ENTRY
2026-02-20T10:20:02.019172+09:00,3103,1260.0,0.8571,61600,1260.9,0.7717,ENTRY
2026-02-20T10:20:31.835938+09:00,9984,4303.0,0.5833,375500,4302.8,0.5465,ENTRY
2026-02-20T10:20:35.805844+09:00,9984,4301.0,-0.1429,551500,4301.9,-0.0908,EXIT
2026-02-20T10:20:51.203037+09:00,4005,568.5,0.8000,1580200,568.5,0.7076,ENTRY
2026-02-20T10:20:52.450811+09:00,4005,568.4,-0.6296,1581100,568.4,-0.4917,EXIT
2026-02-20T10:20:52.853887+09:00,7013,4360.0,0.8122,390900,4361.8,0.3946,ENTRY
2026-02-20T10:20:52.919001+09:00,7013,4362.0,0.8122,408200,4361.8,0.4796,ENTRY
2026-02-20T10:20:52.978565+09:00,7013,4363.0,0.8122,425500,4361.8,0.5579,ENTRY
2026-02-20T10:20:53.032385+09:00,7013,4363.0,0.8122,442800,4361.8,0.6309,ENTRY
2026-02-20T10:20:53.220735+09:00,7013,4363.0,0.8122,460100,4361.8,0.6995,ENTRY
2026-02-20T10:21:18.346449+09:00,7013,4355.0,0.4667,652500,4357.7,0.3541,ENTRY
2026-02-20T10:21:18.481988+09:00,7013,4358.0,0.4667,653200,4357.7,0.3848,ENTRY
2026-02-20T10:21:18.524874+09:00,7013,4358.0,0.4667,653900,4357.7,0.4328,ENTRY
2026-02-20T10:21:45.578666+09:00,7013,4362.0,0.7778,655300,4361.9,0.6734,ENTRY
2026-02-20T10:21:45.718347+09:00,7013,4362.0,0.7778,656000,4361.9,0.7317,ENTRY
2026-02-20T10:21:56.402223+09:00,7013,4361.0,0.8095,472800,4360.9,0.7598,ENTRY
2026-02-20T10:22:12.441092+09:00,7013,4356.0,0.9062,495600,4356.0,0.8359,ENTRY
2026-02-20T10:22:12.491011+09:00,7013,4356.0,0.9062,501400,4356.0,0.8966,ENTRY
2026-02-20T10:22:15.550392+09:00,9984,4302.0,0.9459,437700,4301.0,0.8078,ENTRY
2026-02-20T10:22:16.018704+09:00,9984,4301.0,-0.7500,437000,4301.1,-0.4540,EXIT
2026-02-20T10:23:10.535987+09:00,7013,4359.0,0.9091,419900,4359.0,0.7564,ENTRY
2026-02-20T10:23:10.635399+09:00,7013,4359.0,0.9091,423900,4359.0,0.8300,ENTRY
2026-02-20T10:24:31.591157+09:00,4506,2594.0,0.8333,288700,2594.0,0.8265,ENTRY
2026-02-20T10:24:31.991773+09:00,4506,2595.0,-0.8857,287600,2594.1,-0.1207,EXIT
2026-02-20T10:24:34.639110+09:00,7013,4349.0,0.8065,471900,4349.9,0.7511,ENTRY
2026-02-20T10:24:35.128061+09:00,7013,4349.0,0.8065,474400,4349.9,0.7577,ENTRY
2026-02-20T10:24:40.224117+09:00,7013,4350.0,0.9310,468800,4351.0,0.8965,ENTRY
2026-02-20T10:24:47.918983+09:00,9501,696.3,0.5500,236500,696.3,0.3822,ENTRY
2026-02-20T10:24:55.253752+09:00,9501,696.3,-0.8889,228600,696.3,-0.6849,EXIT
2026-02-20T10:24:55.689646+09:00,7013,4352.0,0.6786,450300,4351.7,0.5585,ENTRY
2026-02-20T10:24:56.049490+09:00,7013,4351.0,0.6786,454100,4351.7,0.6180,ENTRY
2026-02-20T10:24:56.597071+09:00,7013,4351.0,0.6786,457900,4351.7,0.6741,ENTRY
2026-02-20T10:24:59.419246+09:00,7013,4353.0,0.9048,460400,4353.0,0.8408,ENTRY
2026-02-20T10:24:59.902349+09:00,7013,4353.0,0.9048,462300,4353.0,0.8932,ENTRY
2026-02-20T10:26:30.304194+09:00,7013,4365.0,0.3333,531500,4364.7,0.1913,ENTRY
2026-02-20T10:26:30.740475+09:00,7013,4365.0,0.2000,531700,4364.6,0.1913,ENTRY
2026-02-20T10:26:31.157121+09:00,7013,4365.0,0.2727,532000,4364.6,0.1991,ENTRY
2026-02-20T10:26:31.535852+09:00,7013,4364.0,0.2727,532300,4364.6,0.2380,ENTRY
2026-02-20T10:26:31.897711+09:00,7013,4364.0,0.3333,532900,4364.7,0.3087,ENTRY
2026-02-20T10:26:32.633188+09:00,7013,4364.0,0.6000,533900,4363.8,0.4167,ENTRY
2026-02-20T10:26:33.093908+09:00,7013,4364.0,0.6190,535200,4363.8,0.4732,ENTRY
2026-02-20T10:26:33.564992+09:00,7013,4364.0,0.6190,536500,4363.8,0.5241,ENTRY
2026-02-20T10:26:34.006806+09:00,7013,4364.0,0.6190,537800,4363.8,0.5805,ENTRY
2026-02-20T10:26:34.403323+09:00,7013,4364.0,0.7000,540500,4363.9,0.6907,ENTRY
2026-02-20T10:26:39.983525+09:00,4506,2559.0,0.7143,257600,2559.8,0.4872,ENTRY
2026-02-20T10:26:41.346132+09:00,4506,2560.0,-0.4667,258700,2559.9,-0.4560,EXIT
2026-02-20T10:26:59.604374+09:00,7013,4365.0,0.9000,552100,4364.9,0.8691,ENTRY
2026-02-20T10:27:21.314966+09:00,4506,2560.0,0.8873,20000,2560.5,0.8221,ENTRY
2026-02-20T10:27:23.574748+09:00,4506,2556.0,0.0909,134100,2557.5,0.0979,EXIT
2026-02-20T10:27:27.198869+09:00,4506,2552.5,0.7500,8400,2552.9,0.7476,ENTRY
2026-02-20T10:27:28.078480+09:00,4506,2553.0,-0.5000,12400,2552.2,-0.3701,EXIT
2026-02-20T10:27:29.739992+09:00,4506,2549.5,0.9412,600,2551.0,0.9059,ENTRY
2026-02-20T10:27:31.687916+09:00,4506,2550.5,-0.6000,14300,2550.7,-0.2796,EXIT
2026-02-20T10:27:50.813405+09:00,7013,4363.0,0.6364,667300,4362.8,0.5083,ENTRY
2026-02-20T10:27:51.296137+09:00,7013,4363.0,0.6364,669400,4362.8,0.5483,ENTRY
2026-02-20T10:27:51.690941+09:00,7013,4363.0,0.6364,671500,4362.8,0.5830,ENTRY
2026-02-20T10:27:52.129773+09:00,7013,4363.0,0.6364,673600,4362.8,0.6198,ENTRY
2026-02-20T10:27:52.565354+09:00,7013,4363.0,0.7419,675900,4362.9,0.6755,ENTRY
2026-02-20T10:27:52.957291+09:00,7013,4363.0,0.7241,678000,4362.9,0.7222,ENTRY
2026-02-20T10:27:53.371874+09:00,7013,4363.0,0.8519,682400,4362.9,0.8188,ENTRY
2026-02-20T10:37:38.508447+09:00,4582,213.0,0.7056,36500,212.9,0.4244,ENTRY_BUY
2026-02-20T10:37:40.530604+09:00,4582,214.0,-0.9130,105600,213.0,-0.1942,EXIT_BUY
2026-02-20T10:39:21.228690+09:00,4582,213.0,0.9850,1585100,213.0,0.1809,ENTRY_BUY
2026-02-20T10:39:23.333465+09:00,4582,213.0,-0.9802,1670600,213.0,-0.6404,EXIT_BUY
2026-02-20T10:39:52.611879+09:00,4005,570.1,0.9398,10600,570.2,0.7428,ENTRY_BUY
2026-02-20T10:39:58.302218+09:00,4005,570.3,-0.7500,36200,570.3,-0.6590,EXIT_BUY
2026-02-20T10:39:58.919056+09:00,5016,3388.0,0.9130,230400,3389.0,0.2806,ENTRY_BUY
2026-02-20T10:40:00.760281+09:00,5016,3388.0,0.8889,228300,3388.9,0.4431,ENTRY_BUY
2026-02-20T10:40:01.235794+09:00,5016,3388.0,0.6250,229300,3388.8,0.5169,ENTRY_BUY
2026-02-20T10:40:01.717126+09:00,5016,3388.0,0.6842,230600,3388.8,0.6043,ENTRY_BUY
2026-02-20T10:40:02.990024+09:00,7013,4323.0,0.5000,286600,4322.8,0.3838,ENTRY_BUY
2026-02-20T10:40:03.388166+09:00,7013,4322.0,0.5000,287200,4322.8,0.4433,ENTRY_BUY
2026-02-20T10:40:03.849621+09:00,7013,4322.0,0.5000,287800,4322.8,0.4953,ENTRY_BUY
2026-02-20T10:41:32.640786+09:00,5016,3389.0,0.2941,471300,3388.6,0.0941,ENTRY_BUY
2026-02-20T10:41:35.649746+09:00,5016,3387.0,0.3770,461700,3387.4,0.1981,ENTRY_BUY
